--------------------- gram8-plural.txt---------------------
banana bananas (car)? : cars
banana bananas (color)? : colors
banana bananas (lion)? : lions
banana bananas (onion)? : onions
banana bananas (pear)? : pears
bird birds (onion)? : onions
bird birds (banana)? : bananas
bottle bottles (onion)? : onions
bottle bottles (banana)? : bananas
building buildings (onion)? : onions
building buildings (banana)? : bananas
car cars (onion)? : onions
car cars (banana)? : bananas
cat cats (onion)? : onions
child children (onion)? : onions
child children (banana)? : bananas
cloud clouds (color)? : colors
cloud clouds (finger)? : fingers
cloud clouds (onion)? : onions
cloud clouds (pear)? : pears
cloud clouds (banana)? : bananas
color colors (cow)? : cows
color colors (monkey)? : monkeys
color colors (onion)? : onions
color colors (banana)? : bananas
color colors (cloud)? : clouds
computer computers (onion)? : onions
cow cows (finger)? : fingers
cow cows (onion)? : onions
cow cows (color)? : colors
dog dogs (onion)? : onions
dog dogs (pear)? : pears
dog dogs (banana)? : bananas
dog dogs (color)? : colors
dollar dollars (onion)? : onions
dollar dollars (banana)? : bananas
donkey donkeys (finger)? : fingers
donkey donkeys (onion)? : onions
donkey donkeys (pear)? : pears
donkey donkeys (banana)? : bananas
dream dreams (finger)? : fingers
dream dreams (onion)? : onions
dream dreams (pig)? : pigs
dream dreams (banana)? : bananas
dream dreams (color)? : colors
eagle eagles (onion)? : onions
eagle eagles (snake)? : snakes
elephant elephants (onion)? : onions
eye eyes (goat)? : goats
eye eyes (monkey)? : monkeys
eye eyes (onion)? : onions
eye eyes (banana)? : bananas
eye eyes (color)? : colors
eye eyes (dollar)? : dollars
finger fingers (monkey)? : monkeys
finger fingers (onion)? : onions
finger fingers (banana)? : bananas
finger fingers (cloud)? : clouds
finger fingers (cow)? : cows
goat goats (hand)? : hands
goat goats (banana)? : bananas
goat goats (finger)? : fingers
hand hands (horse)? : horses
hand hands (monkey)? : monkeys
hand hands (onion)? : onions
hand hands (banana)? : bananas
horse horses (onion)? : onions
lion lions (onion)? : onions
lion lions (pear)? : pears
lion lions (snake)? : snakes
lion lions (banana)? : bananas
machine machines (onion)? : onions
machine machines (pear)? : pears
machine machines (banana)? : bananas
mango mangoes (monkey)? : monkeys
mango mangoes (onion)? : onions
mango mangoes (pig)? : pigs
mango mangoes (snake)? : snakes
mango mangoes (banana)? : bananas
mango mangoes (bottle)? : bottles
mango mangoes (color)? : colors
mango mangoes (dream)? : dreams
mango mangoes (finger)? : fingers
mango mangoes (lion)? : lions
man men (pear)? : pears
melon melons (monkey)? : monkeys
melon melons (onion)? : onions
monkey monkeys (onion)? : onions
monkey monkeys (pear)? : pears
monkey monkeys (banana)? : bananas
monkey monkeys (finger)? : fingers
mouse mice (onion)? : onions
mouse mice (pear)? : pears
mouse mice (banana)? : bananas
mouse mice (finger)? : fingers
onion onions (rat)? : rats
onion onions (banana)? : bananas
pear pears (rat)? : rats
pear pears (road)? : roads
pear pears (banana)? : bananas
pear pears (cat)? : cats
pear pears (dream)? : dreams
pear pears (finger)? : fingers
pear pears (goat)? : goats
pear pears (horse)? : horses
pear pears (lion)? : lions
pear pears (monkey)? : monkeys
pear pears (onion)? : onions
pig pigs (banana)? : bananas
pineapple pineapples (rat)? : rats
pineapple pineapples (banana)? : bananas
pineapple pineapples (bird)? : birds
pineapple pineapples (cat)? : cats
pineapple pineapples (color)? : colors
pineapple pineapples (lion)? : lions
pineapple pineapples (monkey)? : monkeys
pineapple pineapples (onion)? : onions
road roads (banana)? : bananas
road roads (finger)? : fingers
road roads (onion)? : onions
road roads (pear)? : pears
snake snakes (banana)? : bananas
snake snakes (onion)? : onions
woman women (onion)? : onions
woman women (pear)? : pears

