--------------------- gram9-plural-verbs.txt---------------------
decrease decreases (enhance)? : enhances
describe describes (enhance)? : enhances
describe describes (implement)? : implements
describe describes (listen)? : listens
eat eats (enhance)? : enhances
eat eats (predict)? : predicts
enhance enhances (listen)? : listens
enhance enhances (walk)? : walks
estimate estimates (generate)? : generates
estimate estimates (vanish)? : vanishes
estimate estimates (walk)? : walks
estimate estimates (eat)? : eats
estimate estimates (enhance)? : enhances
find finds (enhance)? : enhances
generate generates (implement)? : implements
generate generates (enhance)? : enhances
go goes (implement)? : implements
go goes (enhance)? : enhances
implement implements (listen)? : listens
implement implements (predict)? : predicts
implement implements (vanish)? : vanishes
implement implements (enhance)? : enhances
implement implements (generate)? : generates
increase increases (listen)? : listens
increase increases (eat)? : eats
increase increases (enhance)? : enhances
listen listens (enhance)? : enhances
play plays (predict)? : predicts
play plays (enhance)? : enhances
play plays (listen)? : listens
predict predicts (work)? : works
predict predicts (eat)? : eats
predict predicts (enhance)? : enhances
provide provides (enhance)? : enhances
provide provides (implement)? : implements
say says (enhance)? : enhances
say says (predict)? : predicts
scream screams (vanish)? : vanishes
scream screams (walk)? : walks
scream screams (eat)? : eats
scream screams (enhance)? : enhances
search searches (walk)? : walks
search searches (generate)? : generates
search searches (listen)? : listens
search searches (play)? : plays
see sees (enhance)? : enhances
see sees (implement)? : implements
shuffle shuffles (vanish)? : vanishes
shuffle shuffles (walk)? : walks
shuffle shuffles (enhance)? : enhances
shuffle shuffles (generate)? : generates
shuffle shuffles (listen)? : listens
shuffle shuffles (play)? : plays
sing sings (enhance)? : enhances
sing sings (predict)? : predicts
sit sits (enhance)? : enhances
slow slows (walk)? : walks
slow slows (enhance)? : enhances
speak speaks (enhance)? : enhances
speak speaks (implement)? : implements
speak speaks (listen)? : listens
swim swims (listen)? : listens
talk talks (eat)? : eats
talk talks (enhance)? : enhances
think thinks (enhance)? : enhances
think thinks (implement)? : implements
think thinks (listen)? : listens
think thinks (predict)? : predicts
vanish vanishes (enhance)? : enhances
vanish vanishes (implement)? : implements
vanish vanishes (listen)? : listens
walk walks (enhance)? : enhances
work works (listen)? : listens
work works (predict)? : predicts
write writes (enhance)? : enhances
write writes (implement)? : implements
write writes (listen)? : listens

