--------------------- capital-common-countries.txt---------------------

--------------------- capital-world.txt---------------------
Bamako Mali (Havana)? : Cuba
Chisinau Moldova (Havana)? : Cuba
Chisinau Moldova (Kabul)? : Afghanistan
Gaborone Botswana (Manila)? : Philippines
Lusaka Zambia (Manila)? : Philippines
Manama Bahrain (Manila)? : Philippines
Manila Philippines (Tunis)? : Tunisia
Moscow Russia (Tunis)? : Tunisia
Nairobi Kenya (Tunis)? : Tunisia
Nassau Bahamas (Tunis)? : Tunisia
Nuuk Greenland (Tunis)? : Tunisia
Ottawa Canada (Tunis)? : Tunisia
Paramaribo Suriname (Tunis)? : Tunisia
Paris France (Tunis)? : Tunisia
Podgorica Montenegro (Tunis)? : Tunisia
Quito Ecuador (Tunis)? : Tunisia
Riga Latvia (Tunis)? : Tunisia
Rome Italy (Tunis)? : Tunisia
Santiago Chile (Tunis)? : Tunisia
Skopje Macedonia (Tunis)? : Tunisia
Sofia Bulgaria (Tunis)? : Tunisia
Stockholm Sweden (Tunis)? : Tunisia
Taipei Taiwan (Tunis)? : Tunisia
Tallinn Estonia (Tunis)? : Tunisia
Tbilisi Georgia (Tunis)? : Tunisia
Tehran Iran (Tunis)? : Tunisia
Tirana Albania (Tunis)? : Tunisia
Tripoli Libya (Tunis)? : Tunisia
Tunis Tunisia (Athens)? : Greece
Tunis Tunisia (Beijing)? : China

--------------------- city-in-state.txt---------------------
Dallas Texas (Minneapolis)? : Minnesota
Boston Massachusetts (Miami)? : Florida
Denver Colorado (Minneapolis)? : Minnesota

--------------------- currency.txt---------------------

--------------------- family.txt---------------------
boy girl (father)? : mother
boy girl (he)? : she
boy girl (his)? : her
boy girl (husband)? : wife
boy girl (man)? : woman
boy girl (prince)? : princess
boy girl (sons)? : daughters
brother sister (husband)? : wife
brother sister (man)? : woman
brother sister (boy)? : girl
brothers sisters (he)? : she
brothers sisters (husband)? : wife
brothers sisters (man)? : woman
brothers sisters (boy)? : girl
dad mom (father)? : mother
dad mom (he)? : she
dad mom (husband)? : wife
dad mom (man)? : woman
dad mom (prince)? : princess
dad mom (son)? : daughter
dad mom (boy)? : girl
father mother (husband)? : wife
father mother (man)? : woman
father mother (boy)? : girl
grandfather grandmother (husband)? : wife
grandfather grandmother (boy)? : girl
grandpa grandma (he)? : she
