--------------------- capital-common-countries.txt---------------------

--------------------- capital-world.txt---------------------

--------------------- city-in-state.txt---------------------

--------------------- currency.txt---------------------

--------------------- family.txt---------------------
dad mom (man)? : woman
husband wife (he)? : she
husband wife (his)? : her

--------------------- gram1-adjective-to-averb.txt---------------------
amazing amazingly (cheerful)? : cheerfully
amazing amazingly (occasional)? : occasionally
amazing amazingly (unfortunate)? : unfortunately
apparent apparently (cheerful)? : cheerfully
apparent apparently (unfortunate)? : unfortunately
apparent apparently (amazing)? : amazingly
calm calmly (cheerful)? : cheerfully
calm calmly (unfortunate)? : unfortunately
calm calmly (amazing)? : amazingly
cheerful cheerfully (reluctant)? : reluctantly
cheerful cheerfully (unfortunate)? : unfortunately
cheerful cheerfully (amazing)? : amazingly
complete completely (amazing)? : amazingly
complete completely (cheerful)? : cheerfully
efficient efficiently (occasional)? : occasionally
efficient efficiently (unfortunate)? : unfortunately
efficient efficiently (amazing)? : amazingly
efficient efficiently (cheerful)? : cheerfully
fortunate fortunately (amazing)? : amazingly
fortunate fortunately (cheerful)? : cheerfully
free freely (unfortunate)? : unfortunately
free freely (amazing)? : amazingly
free freely (cheerful)? : cheerfully
furious furiously (unfortunate)? : unfortunately
furious furiously (amazing)? : amazingly
furious furiously (cheerful)? : cheerfully
happy happily (occasional)? : occasionally
happy happily (unfortunate)? : unfortunately
happy happily (amazing)? : amazingly
happy happily (cheerful)? : cheerfully
immediate immediately (amazing)? : amazingly
immediate immediately (cheerful)? : cheerfully
infrequent infrequently (unfortunate)? : unfortunately
infrequent infrequently (amazing)? : amazingly
infrequent infrequently (cheerful)? : cheerfully
lucky luckily (unfortunate)? : unfortunately
lucky luckily (amazing)? : amazingly
lucky luckily (cheerful)? : cheerfully
most mostly (reluctant)? : reluctantly
most mostly (amazing)? : amazingly
most mostly (cheerful)? : cheerfully
obvious obviously (unfortunate)? : unfortunately
obvious obviously (amazing)? : amazingly
obvious obviously (cheerful)? : cheerfully
occasional occasionally (unfortunate)? : unfortunately
occasional occasionally (amazing)? : amazingly
occasional occasionally (cheerful)? : cheerfully
possible possibly (amazing)? : amazingly
possible possibly (cheerful)? : cheerfully
precise precisely (unfortunate)? : unfortunately
precise precisely (amazing)? : amazingly
precise precisely (cheerful)? : cheerfully
precise precisely (occasional)? : occasionally
professional professionally (unfortunate)? : unfortunately
professional professionally (amazing)? : amazingly
professional professionally (cheerful)? : cheerfully
quick quickly (unfortunate)? : unfortunately
quick quickly (amazing)? : amazingly
quick quickly (cheerful)? : cheerfully
quiet quietly (unfortunate)? : unfortunately
quiet quietly (amazing)? : amazingly
quiet quietly (cheerful)? : cheerfully
rapid rapidly (unfortunate)? : unfortunately
rapid rapidly (amazing)? : amazingly
rapid rapidly (cheerful)? : cheerfully
rare rarely (unfortunate)? : unfortunately
rare rarely (amazing)? : amazingly
rare rarely (cheerful)? : cheerfully
reluctant reluctantly (unfortunate)? : unfortunately
reluctant reluctantly (amazing)? : amazingly
reluctant reluctantly (cheerful)? : cheerfully
reluctant reluctantly (occasional)? : occasionally
safe safely (unfortunate)? : unfortunately
safe safely (amazing)? : amazingly
safe safely (cheerful)? : cheerfully
serious seriously (unfortunate)? : unfortunately
serious seriously (amazing)? : amazingly
serious seriously (cheerful)? : cheerfully
serious seriously (occasional)? : occasionally
slow slowly (unfortunate)? : unfortunately
slow slowly (amazing)? : amazingly
slow slowly (cheerful)? : cheerfully
slow slowly (occasional)? : occasionally
slow slowly (reluctant)? : reluctantly
slow slowly (serious)? : seriously
sudden suddenly (unfortunate)? : unfortunately
sudden suddenly (amazing)? : amazingly
sudden suddenly (cheerful)? : cheerfully
sudden suddenly (occasional)? : occasionally
swift swiftly (amazing)? : amazingly
