--------------------- capital-common-countries.txt---------------------

--------------------- capital-world.txt---------------------
Nassau Bahamas (Tunis)? : Tunisia
Riga Latvia (Tunis)? : Tunisia
Sofia Bulgaria (Tunis)? : Tunisia

--------------------- city-in-state.txt---------------------

--------------------- currency.txt---------------------

--------------------- family.txt---------------------
dad mom (man)? : woman
father mother (husband)? : wife
grandpa grandma (father)? : mother
he she (husband)? : wife
his her (husband)? : wife
husband wife (man)? : woman
husband wife (his)? : her
man woman (boy)? : girl
man woman (husband)? : wife
policeman policewoman (boy)? : girl
policeman policewoman (man)? : woman
stepfather stepmother (husband)? : wife
stepson stepdaughter (boy)? : girl

--------------------- gram1-adjective-to-averb.txt---------------------
amazing amazingly (cheerful)? : cheerfully
amazing amazingly (efficient)? : efficiently
amazing amazingly (free)? : freely
amazing amazingly (immediate)? : immediately
amazing amazingly (safe)? : safely
amazing amazingly (serious)? : seriously
amazing amazingly (sudden)? : suddenly
amazing amazingly (unfortunate)? : unfortunately
apparent apparently (cheerful)? : cheerfully
apparent apparently (immediate)? : immediately
apparent apparently (safe)? : safely
apparent apparently (unfortunate)? : unfortunately
calm calmly (cheerful)? : cheerfully
calm calmly (efficient)? : efficiently
calm calmly (safe)? : safely
calm calmly (unfortunate)? : unfortunately
calm calmly (amazing)? : amazingly
cheerful cheerfully (immediate)? : immediately
cheerful cheerfully (safe)? : safely
cheerful cheerfully (serious)? : seriously
cheerful cheerfully (unfortunate)? : unfortunately
cheerful cheerfully (amazing)? : amazingly
efficient efficiently (immediate)? : immediately
efficient efficiently (infrequent)? : infrequently
efficient efficiently (safe)? : safely
efficient efficiently (serious)? : seriously
efficient efficiently (unfortunate)? : unfortunately
efficient efficiently (amazing)? : amazingly
efficient efficiently (cheerful)? : cheerfully
fortunate fortunately (immediate)? : immediately
fortunate fortunately (infrequent)? : infrequently
fortunate fortunately (reluctant)? : reluctantly
fortunate fortunately (serious)? : seriously
fortunate fortunately (unfortunate)? : unfortunately
fortunate fortunately (amazing)? : amazingly
fortunate fortunately (cheerful)? : cheerfully
fortunate fortunately (efficient)? : efficiently
free freely (reluctant)? : reluctantly
free freely (unfortunate)? : unfortunately
free freely (amazing)? : amazingly
free freely (cheerful)? : cheerfully
furious furiously (immediate)? : immediately
furious furiously (infrequent)? : infrequently
furious furiously (reluctant)? : reluctantly
furious furiously (safe)? : safely
furious furiously (unfortunate)? : unfortunately
furious furiously (amazing)? : amazingly
furious furiously (cheerful)? : cheerfully
furious furiously (efficient)? : efficiently
happy happily (immediate)? : immediately
happy happily (occasional)? : occasionally
happy happily (unfortunate)? : unfortunately
happy happily (cheerful)? : cheerfully
immediate immediately (amazing)? : amazingly
immediate immediately (cheerful)? : cheerfully
infrequent infrequently (unfortunate)? : unfortunately
infrequent infrequently (amazing)? : amazingly
infrequent infrequently (cheerful)? : cheerfully
infrequent infrequently (efficient)? : efficiently
lucky luckily (serious)? : seriously
lucky luckily (amazing)? : amazingly
lucky luckily (efficient)? : efficiently
lucky luckily (infrequent)? : infrequently
most mostly (safe)? : safely
most mostly (amazing)? : amazingly
most mostly (cheerful)? : cheerfully
most mostly (efficient)? : efficiently
obvious obviously (safe)? : safely
obvious obviously (unfortunate)? : unfortunately
obvious obviously (amazing)? : amazingly
obvious obviously (cheerful)? : cheerfully
obvious obviously (immediate)? : immediately
occasional occasionally (unfortunate)? : unfortunately
occasional occasionally (amazing)? : amazingly
occasional occasionally (cheerful)? : cheerfully
occasional occasionally (immediate)? : immediately
possible possibly (safe)? : safely
possible possibly (serious)? : seriously
possible possibly (unfortunate)? : unfortunately
possible possibly (amazing)? : amazingly
possible possibly (cheerful)? : cheerfully
possible possibly (efficient)? : efficiently
possible possibly (infrequent)? : infrequently
precise precisely (serious)? : seriously
precise precisely (unfortunate)? : unfortunately
precise precisely (amazing)? : amazingly
precise precisely (cheerful)? : cheerfully
professional professionally (reluctant)? : reluctantly
professional professionally (safe)? : safely
professional professionally (serious)? : seriously
professional professionally (sudden)? : suddenly
professional professionally (unfortunate)? : unfortunately
professional professionally (amazing)? : amazingly
professional professionally (cheerful)? : cheerfully
professional professionally (efficient)? : efficiently
professional professionally (immediate)? : immediately
quick quickly (serious)? : seriously
quick quickly (amazing)? : amazingly
quick quickly (cheerful)? : cheerfully
quick quickly (efficient)? : efficiently
quiet quietly (serious)? : seriously
quiet quietly (unfortunate)? : unfortunately
quiet quietly (amazing)? : amazingly
quiet quietly (cheerful)? : cheerfully
rapid rapidly (unfortunate)? : unfortunately
rapid rapidly (amazing)? : amazingly
rare rarely (reluctant)? : reluctantly
rare rarely (serious)? : seriously
rare rarely (amazing)? : amazingly
rare rarely (cheerful)? : cheerfully
rare rarely (efficient)? : efficiently
reluctant reluctantly (serious)? : seriously
reluctant reluctantly (unfortunate)? : unfortunately
reluctant reluctantly (amazing)? : amazingly
reluctant reluctantly (cheerful)? : cheerfully
reluctant reluctantly (efficient)? : efficiently
reluctant reluctantly (free)? : freely
reluctant reluctantly (infrequent)? : infrequently
reluctant reluctantly (professional)? : professionally
safe safely (serious)? : seriously
safe safely (unfortunate)? : unfortunately
safe safely (amazing)? : amazingly
safe safely (cheerful)? : cheerfully
safe safely (efficient)? : efficiently
serious seriously (unfortunate)? : unfortunately
serious seriously (amazing)? : amazingly
serious seriously (cheerful)? : cheerfully
serious seriously (safe)? : safely
slow slowly (unfortunate)? : unfortunately
slow slowly (amazing)? : amazingly
slow slowly (fortunate)? : fortunately
sudden suddenly (typical)? : typically
sudden suddenly (unfortunate)? : unfortunately
sudden suddenly (amazing)? : amazingly
swift swiftly (amazing)? : amazingly
swift swiftly (cheerful)? : cheerfully
swift swiftly (efficient)? : efficiently
swift swiftly (serious)? : seriously
typical typically (amazing)? : amazingly
typical typically (efficient)? : efficiently
typical typically (immediate)? : immediately
typical typically (safe)? : safely
typical typically (sudden)? : suddenly
unfortunate unfortunately (amazing)? : amazingly
unfortunate unfortunately (cheerful)? : cheerfully
unfortunate unfortunately (efficient)? : efficiently
unfortunate unfortunately (infrequent)? : infrequently
unfortunate unfortunately (safe)? : safely
usual usually (amazing)? : amazingly
usual usually (immediate)? : immediately
usual usually (safe)? : safely

--------------------- gram2-opposite.txt---------------------
acceptable unacceptable (aware)? : unaware
acceptable unacceptable (comfortable)? : uncomfortable
acceptable unacceptable (consistent)? : inconsistent
acceptable unacceptable (likely)? : unlikely
acceptable unacceptable (possible)? : impossible
acceptable unacceptable (reasonable)? : unreasonable
acceptable unacceptable (tasteful)? : distasteful
aware unaware (comfortable)? : uncomfortable
aware unaware (possible)? : impossible
aware unaware (reasonable)? : unreasonable
aware unaware (acceptable)? : unacceptable
certain uncertain (comfortable)? : uncomfortable
certain uncertain (reasonable)? : unreasonable
certain uncertain (acceptable)? : unacceptable
clear unclear (likely)? : unlikely
clear unclear (possible)? : impossible
clear unclear (reasonable)? : unreasonable
clear unclear (tasteful)? : distasteful
clear unclear (acceptable)? : unacceptable
comfortable uncomfortable (likely)? : unlikely
comfortable uncomfortable (possible)? : impossible
comfortable uncomfortable (reasonable)? : unreasonable
competitive uncompetitive (likely)? : unlikely
competitive uncompetitive (reasonable)? : unreasonable
competitive uncompetitive (tasteful)? : distasteful
competitive uncompetitive (acceptable)? : unacceptable
consistent inconsistent (likely)? : unlikely
consistent inconsistent (reasonable)? : unreasonable
consistent inconsistent (acceptable)? : unacceptable
consistent inconsistent (comfortable)? : uncomfortable
convincing unconvincing (likely)? : unlikely
convincing unconvincing (possible)? : impossible
convincing unconvincing (reasonable)? : unreasonable
convincing unconvincing (tasteful)? : distasteful
convincing unconvincing (acceptable)? : unacceptable
convenient inconvenient (likely)? : unlikely
convenient inconvenient (reasonable)? : unreasonable
convenient inconvenient (acceptable)? : unacceptable
convenient inconvenient (comfortable)? : uncomfortable
decided undecided (likely)? : unlikely
decided undecided (reasonable)? : unreasonable
decided undecided (acceptable)? : unacceptable
decided undecided (comfortable)? : uncomfortable
efficient inefficient (likely)? : unlikely
efficient inefficient (reasonable)? : unreasonable
efficient inefficient (tasteful)? : distasteful
ethical unethical (likely)? : unlikely
ethical unethical (possible)? : impossible
ethical unethical (reasonable)? : unreasonable
ethical unethical (tasteful)? : distasteful
ethical unethical (acceptable)? : unacceptable
ethical unethical (comfortable)? : uncomfortable
fortunate unfortunate (likely)? : unlikely
fortunate unfortunate (possible)? : impossible
fortunate unfortunate (reasonable)? : unreasonable
honest dishonest (informed)? : uninformed
honest dishonest (likely)? : unlikely
honest dishonest (possible)? : impossible
honest dishonest (rational)? : irrational
honest dishonest (reasonable)? : unreasonable
honest dishonest (acceptable)? : unacceptable
honest dishonest (comfortable)? : uncomfortable
impressive unimpressive (likely)? : unlikely
impressive unimpressive (reasonable)? : unreasonable
impressive unimpressive (tasteful)? : distasteful
impressive unimpressive (acceptable)? : unacceptable
impressive unimpressive (comfortable)? : uncomfortable
informative uninformative (likely)? : unlikely
informative uninformative (possible)? : impossible
informative uninformative (reasonable)? : unreasonable
informative uninformative (tasteful)? : distasteful
informative uninformative (acceptable)? : unacceptable
informative uninformative (comfortable)? : uncomfortable
informed uninformed (likely)? : unlikely
informed uninformed (possible)? : impossible
informed uninformed (reasonable)? : unreasonable
informed uninformed (tasteful)? : distasteful
informed uninformed (acceptable)? : unacceptable
informed uninformed (comfortable)? : uncomfortable
likely unlikely (possible)? : impossible
likely unlikely (rational)? : irrational
likely unlikely (reasonable)? : unreasonable
likely unlikely (tasteful)? : distasteful
likely unlikely (acceptable)? : unacceptable
likely unlikely (comfortable)? : uncomfortable
logical illogical (possible)? : impossible
logical illogical (reasonable)? : unreasonable
logical illogical (tasteful)? : distasteful
logical illogical (acceptable)? : unacceptable
logical illogical (comfortable)? : uncomfortable
logical illogical (likely)? : unlikely
pleasant unpleasant (possible)? : impossible
pleasant unpleasant (reasonable)? : unreasonable
pleasant unpleasant (tasteful)? : distasteful
pleasant unpleasant (logical)? : illogical
possible impossible (reasonable)? : unreasonable
possible impossible (tasteful)? : distasteful
possible impossible (acceptable)? : unacceptable
possible impossible (aware)? : unaware
possible impossible (likely)? : unlikely
possible impossible (pleasant)? : unpleasant
possibly impossibly (reasonable)? : unreasonable
possibly impossibly (tasteful)? : distasteful
possibly impossibly (comfortable)? : uncomfortable
possibly impossibly (likely)? : unlikely
possibly impossibly (pleasant)? : unpleasant
productive unproductive (reasonable)? : unreasonable
productive unproductive (tasteful)? : distasteful
productive unproductive (acceptable)? : unacceptable
productive unproductive (comfortable)? : uncomfortable
productive unproductive (likely)? : unlikely
rational irrational (reasonable)? : unreasonable
rational irrational (aware)? : unaware
rational irrational (likely)? : unlikely
rational irrational (possible)? : impossible
rational irrational (possibly)? : impossibly
reasonable unreasonable (likely)? : unlikely
responsible irresponsible (acceptable)? : unacceptable
responsible irresponsible (comfortable)? : uncomfortable
responsible irresponsible (likely)? : unlikely
responsible irresponsible (pleasant)? : unpleasant
tasteful distasteful (likely)? : unlikely
tasteful distasteful (possible)? : impossible
tasteful distasteful (reasonable)? : unreasonable

